                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.3   15.3  12:38    8.6  08:20    5.0    0.0   0.00   11.7   49.9  12:04    316
 02   11.4   14.2  15:18    8.4  06:41    6.9    0.0   0.00    3.5   17.7  08:32    351
 03   14.9   21.5  13:53   10.4  07:47    3.5    0.0   0.00    4.0   29.0  13:36     10
 04   14.8   20.5  13:47   11.3  07:23    3.6    0.0   0.00    3.9   20.9  16:14     29
 05   14.9   19.5  15:32   11.6  23:02    3.4    0.0   0.00    6.6   41.8  10:54    290
 06   13.2   15.8  13:56   10.2  07:13    5.1    0.0   0.00    6.6   35.4  19:27     49
 07   11.6   14.9  01:02    8.3  22:42    6.7    0.0   0.62    6.5   30.6  14:37    354
 08   10.0   13.1  13:25    6.8  05:56    8.4    0.0   0.04    4.8   29.0  14:48      4
 09   10.4   14.8  14:18    6.1  07:01    7.9    0.0   0.02    4.9   25.7  15:30    265
 10   10.9   14.0  16:11    7.2  08:54    7.4    0.0   0.00    5.2   41.8  02:15    282
 11   10.0   12.2  15:55    7.4  23:50    8.3    0.0   0.00    4.3   27.4  07:17    339
 12    9.5   13.7  13:58    5.8  06:23    8.8    0.0   0.02    5.5   22.5  10:02    356
 13   11.2   14.2  12:05    7.9  08:29    7.1    0.0   0.00    6.3   41.8  21:47    261
 14   10.4   13.1  01:29    8.2  06:46    7.9    0.0   0.00    3.8   33.8  01:29    345
 15   10.2   14.0  11:54    7.3  05:32    8.1    0.0   0.00    5.9   35.4  21:49    288
 16   12.6   18.1  17:01    8.6  07:16    5.7    0.0   0.00    4.7   27.4  04:55    277
 17   12.7   15.7  13:08    9.4  07:34    5.7    0.0   0.00    3.9   22.5  09:54    360
 18   12.1   14.3  14:34    8.7  23:29    6.3    0.0   0.00    4.7   27.4  14:20    274
 19   10.5   13.7  14:20    7.3  05:04    7.8    0.0   0.02    3.6   14.5  03:47    352
 20   12.1   15.8  17:04    8.6  06:41    6.2    0.0   0.00    4.8   27.4  14:05    295
 21   14.6   18.8  15:18   11.6  04:34    3.8    0.0   0.00    3.2   16.1  07:18    357
 22   13.7   16.2  15:21   11.4  08:20    4.6    0.0   0.00    3.2   14.5  04:17      9
 23   12.8   16.4  13:28    9.8  08:04    5.5    0.0   0.00    3.0   20.9  00:21    348
 24   13.3   16.4  11:33    9.8  04:00    5.0    0.0   0.00    3.5   19.3  18:20    292
 25   13.2   14.5  12:35   11.7  01:57    5.2    0.0   0.00    4.5   20.9  10:50    257
 26   10.1   13.1  00:01    8.2  09:03    8.2    0.0   1.18    6.2   49.9  09:29     15
 27   10.5   12.9  23:22    7.3  07:16    7.9    0.0   0.02   11.4   61.2  20:17     24
 28   13.0   16.7  12:04   10.3  21:40    5.3    0.0   0.00   10.5   49.9  00:30     35
 29   11.4   14.9  16:02    7.9  07:17    7.0    0.0   0.00    3.2   11.3  01:01    334
 30   10.5   13.3  10:43    7.7  05:33    7.8    0.0   0.00    4.0   16.1  12:51     13
 31   11.2   14.6  14:26    8.2  08:48    7.2    0.0   0.00    5.3   27.4  13:30    284
---------------------------------------------------------------------------------------
      12.0   21.5     03    5.8     12  197.4    0.0   1.92    5.3   61.2     27    341
    
