                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    9.0   11.5  13:23    6.7  20:21    9.4    0.0   0.14    6.5   38.6  17:17     26
 02    8.5   11.7  16:40    5.7  07:45    9.8    0.0   0.00    5.1   32.2  00:52      6
 03    8.4   12.9  14:59    4.2  08:04    9.9    0.0   0.00    5.9   25.7  13:49    338
 04    8.7   10.4  12:03    6.6  01:12    9.7    0.0   0.50   12.7   49.9  20:18     31
 05    9.3   12.4  14:40    7.1  00:05    9.0    0.0   1.56    9.1   38.6  00:08     13
 06    8.9   11.9  15:05    6.8  23:32    9.4    0.0   0.72    9.4   45.1  07:46     35
 07    7.9   11.1  14:56    6.0  06:19   10.4    0.0   0.00    3.6   24.1  20:08      6
 08    4.4    6.3  00:11    2.6  14:21   13.9    0.0   0.30    5.4   24.1  12:37      8
 09    6.2   10.3  15:42    1.6  06:54   12.1    0.0   0.02    5.3   25.7  23:40    351
 10    7.6   11.7  15:51    4.1  08:07   10.7    0.0   0.00    6.1   33.8  05:17      8
 11    9.6   13.7  13:55    4.9  06:15    8.7    0.0   0.00    5.4   27.4  13:17    297
 12    7.8   12.9  00:00    3.2  23:58   10.6    0.0   0.54    5.4   35.4  18:33     26
 13    5.8   10.6  15:36    1.8  06:36   12.5    0.0   0.02    8.1   37.0  15:11    309
 14    8.6   11.9  11:32    4.7  02:11    9.7    0.0   0.00    3.2   14.5  03:33    342
 15   10.9   14.2  14:51    7.2  07:51    7.4    0.0   0.00    2.9   11.3  07:05    338
 16   12.1   14.2  12:10    9.3  03:37    6.2    0.0   0.00    2.3   16.1  14:02    345
 17   12.0   13.4  16:54   10.4  07:24    6.3    0.0   0.08    3.4   20.9  20:55     10
 18   11.6   13.9  11:33    9.3  07:16    6.8    0.0   0.08    3.8   19.3  13:05    289
 19   11.0   12.7  15:33    9.2  07:29    7.3    0.0   0.00    3.8   12.9  06:04    331
 20   11.5   13.9  16:02   10.1  08:11    6.9    0.0   0.00    2.8   16.1  16:48    337
 21   10.5   14.2  12:26    6.7  23:52    7.9    0.0   0.00   13.8   53.1  14:35     35
 22    6.9   10.7  14:23    4.0  05:56   11.5    0.0   0.00    5.9   25.7  19:40     23
 23    7.2    9.6  13:56    4.6  07:26   11.1    0.0   0.00    5.0   17.7  00:00    303
 24    8.4   12.8  16:08    4.2  07:45    9.9    0.0   0.00    4.2   19.3  01:37    349
 25   10.3   13.6  16:52    7.6  00:00    8.0    0.0   0.00    5.0   24.1  21:45     11
 26    6.6   10.1  13:45    1.9  23:55   11.7    0.0   0.12    6.4   37.0  22:46     53
 27    3.3    6.4  14:47    0.6  07:31   15.1    0.0   0.02    6.1   37.0  01:29     57
 28    5.0    8.8  23:55    1.4  08:06   13.3    0.0   0.38   11.7   43.5  15:03     19
---------------------------------------------------------------------------------------
       8.5   14.2     15    0.6     27  275.3    0.0   4.48    6.0   53.1     21     15
    
