                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.3   23.1  17:29   17.5  06:42    0.0    2.0   0.00    3.3   14.5  14:53    217
 02   20.2   22.8  18:39   17.8  04:49    0.0    1.9   0.00    3.3   19.3  10:26    194
 03   19.3   21.0  13:23   16.8  23:45    0.0    1.0   0.12    4.8   29.0  17:47     43
 04   19.6   22.7  16:29   15.9  04:08    0.0    1.2   0.00    4.3   16.1  02:00    245
 05   20.4   22.4  15:14   17.5  07:01    0.0    2.0   0.00    3.8   19.3  19:30    221
 06   19.7   22.2  16:57   16.4  15:00    0.0    1.3   2.00    5.0   27.4  15:34     34
 07   19.0   22.3  12:21   17.0  15:12    0.0    0.7   2.96    4.9   27.4  06:03     17
 08   20.3   23.7  16:29   16.3  06:14    0.0    1.9   0.00    4.5   24.1  14:40    249
 09   22.1   25.2  15:32   18.9  06:15    0.0    3.8   0.00    3.8   19.3  08:48    246
 10   22.3   27.4  15:14   19.8  23:32    0.0    4.0   0.06    3.6   20.9  19:55     15
 11   22.1   24.6  18:13   19.7  01:03    0.0    3.8   0.02    5.1   24.1  21:55    146
 12   22.0   26.6  17:18   16.9  07:04    0.0    3.6   0.84    5.0   33.8  17:25    266
 13   21.6   24.5  16:46   19.0  05:05    0.0    3.3   0.06    4.1   17.7  23:48    305
 14   21.4   24.1  15:33   17.6  06:22    0.0    3.0   0.00    4.7   19.3  07:37    258
 15   21.1   22.8  15:16   17.8  06:23    0.0    2.8   0.00    3.3   14.5  14:07    184
 16   22.0   24.8  16:12   19.4  06:50    0.0    3.7   0.00    3.0   16.1  14:17    236
 17   21.9   24.3  16:08   19.7  01:59    0.0    3.6   0.00    3.0   14.5  09:12    187
 18   22.5   24.9  15:33   19.6  06:20    0.0    4.1   0.00    3.8   16.1  08:31    267
 19   23.0   26.3  17:19   19.0  06:46    0.0    4.6   0.00    3.1   14.5  05:42    252
 20   23.4   25.7  18:04   19.9  05:18    0.0    5.1   0.00    1.8   11.3  00:26    212
 21   23.7   26.9  19:33   19.9  05:28    0.0    5.3   0.00    2.5   12.9  11:59    213
 22   24.4   26.9  17:11   21.6  04:15    0.0    6.0   0.00    1.8   12.9  17:35    188
 23   23.2   24.3  00:13   21.3  06:35    0.0    4.9   0.00    3.6   24.1  16:15    114
 24   23.0   24.6  15:15   20.6  07:32    0.0    4.6   0.00    2.4   12.9  13:42    194
 25   23.0   24.8  16:21   20.8  06:34    0.0    4.7   0.00    3.3   30.6  08:55    100
 26   23.2   26.2  10:18   21.1  06:30    0.0    4.9   0.00    3.0   20.9  10:21    162
 27   24.1   27.7  16:08   20.2  05:15    0.0    5.8   0.00    3.3   20.9  18:38    236
 28   23.7   26.5  13:48   19.8  21:23    0.0    5.4   0.32    2.9   17.7  19:36    280
 29   23.5   26.2  13:40   21.0  00:00    0.0    5.2   0.00    4.1   24.1  05:03    302
 30   23.2   25.4  19:52   20.4  05:55    0.0    4.9   0.00    4.0   17.7  17:22    128
---------------------------------------------------------------------------------------
      22.0   27.7     27   15.9     04    0.0  109.2   6.38    3.6   33.8     12    232
    
