                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.0   14.7  18:03    7.3  06:58    6.3    0.0   0.00    5.3   24.1  03:47    340
 02   13.6   17.6  15:50   10.6  07:42    4.7    0.0   0.00    3.4   17.7  23:39    297
 03   14.1   16.8  15:57   11.2  06:34    4.2    0.0   0.00    4.2   24.1  17:16    242
 04   16.8   22.7  16:31   13.2  08:03    1.6    0.0   0.00    5.9   40.2  16:47    256
 05   14.9   17.6  11:31   12.4  07:44    3.4    0.0   0.00    3.3   20.9  01:46    258
 06   13.7   15.9  13:11   10.5  04:21    4.7    0.0   0.00    3.2   19.3  23:20    355
 07   15.2   17.6  15:42   13.1  05:29    3.1    0.0   0.00   13.3   45.1  08:06     40
 08   13.7   15.2  00:32   11.9  23:48    4.6    0.0   0.60    6.3   33.8  07:12     39
 09   13.4   16.6  17:17   10.3  07:40    5.0    0.0   0.12    4.3   27.4  23:06    245
 10   12.3   15.2  14:29    8.6  07:02    6.1    0.0   0.14    5.7   33.8  23:57    215
 11   11.9   13.4  19:00    9.1  23:48    6.4    0.0   2.16   13.3   64.4  07:20    174
 12   11.8   15.4  17:36    8.4  07:47    6.6    0.0   0.00    4.1   20.9  03:28    320
 13   12.9   15.3  12:53   11.2  03:40    5.4    0.0   0.18    2.6   24.1  13:29     43
 14   14.3   16.8  23:48   13.1  06:40    4.0    0.0   0.36   11.7   38.6  17:48     27
 15   15.3   18.4  15:28   12.6  05:52    3.0    0.0   0.00    2.3   19.3  00:30    189
 16   15.2   17.8  16:04   13.1  04:02    3.1    0.0   0.00    2.0   19.3  12:08     21
 17   16.0   19.3  15:48   12.1  05:01    2.4    0.0   0.00    2.4   17.7  23:20    275
 18   18.0   21.2  21:58   14.0  06:04    0.4    0.0   0.00    3.3   22.5  22:14     68
 19   18.0   22.3  11:55   14.4  06:20    0.3    0.0   0.00    4.7   30.6  10:36     59
 20   16.6   19.6  16:58   13.8  04:45    1.7    0.0   0.00    2.4   12.9  05:28    270
 21   16.9   20.3  15:47   13.0  06:49    1.5    0.0   0.00    2.8   12.9  14:45    239
 22   17.5   20.2  16:37   14.2  06:59    0.8    0.0   0.00    3.0   17.7  14:18    242
 23   17.2   19.5  10:51   15.3  06:23    1.1    0.0   0.00    2.5   16.1  11:45    161
 24   18.9   22.6  17:00   15.2  05:51    0.0    0.6   0.00    2.0   12.9  23:13    284
 25   18.3   20.7  11:39   15.7  05:02    0.1    0.0   0.00    2.9   20.9  12:28    133
 26   18.1   20.3  10:55   16.4  23:20    0.2    0.0   0.00    4.2   22.5  12:12    220
 27   17.1   20.1  14:41   14.4  06:35    1.2    0.0   0.00    3.4   17.7  14:14    189
 28   17.4   19.9  17:35   14.6  07:22    0.9    0.0   0.00    3.0   14.5  17:00    198
 29   15.4   18.0  14:20   12.0  23:49    2.9    0.0   0.40    6.9   53.1  18:29    249
 30   14.6   17.3  17:02   10.7  06:36    3.7    0.0   0.00    6.5   30.6  20:10    235
---------------------------------------------------------------------------------------
      15.4   22.7     04    7.3     01   89.4    0.6   3.96    4.7   64.4     11    317
    
