                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   25.9   28.4  11:32   24.0  07:07    0.0    7.5   0.04    5.2   30.6  14:32     67
 02   27.0   30.6  18:41   24.3  05:47    0.0    8.6   0.00    3.5   25.7  12:50    145
 03   26.8   31.4  09:56   24.9  00:52    0.0    8.4   0.00    5.9   25.7  11:59    103
 04   28.3   31.4  17:14   24.4  05:30    0.0   10.0   0.00    3.2   17.7  00:49    238
 05   28.6   31.7  13:53   25.7  06:28    0.0   10.2   0.00    3.1   17.7  14:52    217
 06   27.1   29.5  10:18   25.0  06:04    0.0    8.7   0.00    4.5   17.7  11:50    206
 07   26.8   28.9  11:02   24.4  02:35    0.0    8.5   0.00    6.9   24.1  12:49    244
 08   25.6   27.0  17:28   23.4  23:38    0.0    7.3   0.02    7.6   33.8  13:25     32
 09   22.7   24.7  09:32   18.7  23:18    0.0    4.3   0.00    7.5   37.0  21:32     41
 10   21.3   24.8  17:08   18.0  07:45    0.0    3.0   0.02    7.2   25.7  14:19    201
 11   21.5   23.7  15:44   18.8  06:20    0.0    3.1   0.02    8.7   30.6  01:12    170
 12   22.3   25.2  18:36   18.4  04:09    0.0    4.0   0.44    5.1   19.3  10:47    248
 13   24.0   27.0  16:53   20.2  06:28    0.0    5.7   0.00    5.2   17.7  01:18    244
 14   24.7   27.3  15:37   20.7  07:07    0.0    6.4   0.00    5.6   25.7  12:35    242
 15   24.6   27.7  16:09   21.7  06:23    0.0    6.3   0.00    4.4   17.7  10:51    116
 16   24.7   25.8  11:26   23.1  05:11    0.0    6.3   0.04    4.6   17.7  00:12    109
 17   26.3   28.8  12:19   22.8  06:11    0.0    7.9   0.00    4.2   16.1  10:12    240
 18   26.7   29.5  15:52   23.2  06:32    0.0    8.4   0.00    4.1   25.7  14:50    237
 19   25.2   26.8  10:30   24.1  06:53    0.0    6.9   0.00    4.6   22.5  09:10    136
 20   24.9   27.0  14:39   23.3  05:50    0.0    6.6   0.00    3.6   22.5  14:52    196
 21   24.7   26.6  13:27   22.3  07:04    0.0    6.4   0.00    4.4   16.1  13:10    174
 22   25.3   28.2  14:45   21.7  06:15    0.0    7.0   0.00    5.6   24.1  15:45    243
 23   25.7   28.6  17:06   22.0  06:51    0.0    7.3   0.00    5.3   22.5  17:42    241
 24   25.8   29.0  14:38   22.3  05:53    0.0    7.5   0.00    4.7   20.9  10:19    283
 25   25.7   28.3  14:54   22.6  06:09    0.0    7.4   0.00    4.3   14.5  13:13    222
 26   25.7   27.7  16:21   23.5  03:19    0.0    7.4   0.00    4.6   16.1  12:55    165
 27   25.5   26.8  14:07   23.4  07:20    0.0    7.2   0.00    5.1   32.2  21:10    130
 28   25.9   27.9  12:10   23.3  06:39    0.0    7.6   0.00    3.6   17.7  22:44    175
 29   27.3   30.1  14:28   24.3  07:06    0.0    9.0   0.00    5.2   33.8  18:52    252
 30   25.9   28.4  10:04   23.8  23:19    0.0    7.6   0.00    6.1   35.4  04:31    248
 31   22.2   24.0  04:40   20.1  23:41    0.0    3.8   0.14    5.1   24.1  10:11     16
---------------------------------------------------------------------------------------
      25.3   31.7     05   18.0     10    0.0  216.3   0.72    5.1   37.0     09    219
    
