                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2018


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   23.6   26.3  16:10   21.7  23:52    0.0    5.3   0.00    3.5   20.9  11:06    333
 02   23.5   25.5  16:29   20.8  06:43    0.0    5.2   0.00    5.5   20.9  23:51     84
 03   23.8   25.3  13:55   22.2  06:16    0.0    5.5   0.00    4.3   25.7  13:57     63
 04   24.2   28.6  11:59   22.4  23:58    0.0    5.9   0.00    4.8   30.6  10:41     66
 05   23.6   26.1  09:44   20.9  06:20    0.0    5.2   0.00    4.5   24.1  13:10     79
 06   23.2   25.8  11:24   20.5  07:44    0.0    4.9   0.60    7.1   35.4  03:21     40
 07   23.0   26.7  16:02   20.6  19:01    0.0    4.7   0.90    4.7   24.1  18:18    310
 08   23.1   26.2  18:29   20.2  05:24    0.0    4.7   0.20    3.3   17.7  13:57    192
 09   23.9   25.8  13:16   22.3  08:21    0.0    5.6   0.00    3.9   16.1  23:44     33
 10   23.3   24.8  13:44   21.8  07:41    0.0    5.0   0.00    3.4   27.4  03:37     64
 11   23.9   27.3  14:58   20.4  07:31    0.0    5.5   0.00    2.6   12.9  06:07    321
 12   24.2   26.0  16:41   21.9  04:41    0.0    5.8   0.00    3.4   19.3  16:51     80
 13   24.5   26.7  13:58   22.4  07:29    0.0    6.2   0.00    4.2   16.1  02:58    208
 14   24.2   27.1  17:08   21.8  08:00    0.0    5.9   0.00    3.9   17.7  00:12    190
 15   23.8   26.1  12:00   22.5  07:43    0.0    5.4   0.00    3.8   16.1  14:07    168
 16   24.1   27.3  16:15   22.2  01:33    0.0    5.7   0.00    3.3   17.7  17:19    271
 17   23.7   25.8  13:42   21.4  07:37    0.0    5.4   0.00    4.9   17.7  13:15    112
 18   22.6   24.9  14:53   21.0  22:55    0.0    4.3   0.10    5.1   30.6  12:13     26
 19   23.4   26.5  11:54   20.7  05:50    0.0    5.0   0.00    3.9   22.5  10:02     79
 20   24.6   28.3  14:49   20.6  07:01    0.0    6.3   0.00    3.5   16.1  03:51    289
 21   24.3   26.3  10:45   21.7  05:45    0.0    6.0   0.00    4.3   22.5  15:15     98
 22   24.2   26.9  18:26   22.8  00:00    0.0    5.9   0.00    4.1   22.5  10:43    360
 23   24.8   27.9  17:45   21.4  07:23    0.0    6.4   0.00    3.5   20.9  15:36    246
 24   23.7   25.4  15:27   21.1  23:57    0.0    5.4   0.00    5.0   27.4  22:37     81
 25   21.8   25.0  12:54   18.6  04:12    0.0    3.5   0.00   11.1   37.0  23:18     36
 26   21.2   23.3  11:40   19.0  23:59    0.0    2.9   0.00   12.2   38.6  10:12     37
 27   20.1   23.1  18:40   16.9  06:21    0.0    1.7   0.00    5.2   19.3  00:18    352
 28   21.3   25.5  16:52   17.2  06:12    0.0    3.0   0.00    3.4   16.1  17:03    293
 29   22.1   25.0  15:40   19.4  06:56    0.0    3.8   0.00    4.1   24.1  16:03     73
 30   22.6   25.7  15:49   20.3  02:25    0.0    4.3   0.00    5.2   24.1  18:20    292
---------------------------------------------------------------------------------------
      23.3   28.6     04   16.9     27    0.0  150.4   1.80    4.7   38.6     26     43
    
