                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2019


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.6   15.7  12:18   11.1  07:32    4.7    0.0   0.00    3.4   12.9  13:59    195
 02   14.0   16.4  15:10   11.4  06:10    4.3    0.0   0.00    5.1   24.1  21:01    258
 03   12.7   16.9  14:49    7.4  23:46    5.6    0.0   0.76    4.9   29.0  21:57     28
 04    9.2   12.0  15:20    5.8  06:59    9.2    0.0   0.02    7.6   27.4  00:03    336
 05   12.6   15.6  16:48    8.9  00:45    5.8    0.0   0.04    8.2   32.2  18:56    222
 06   12.9   16.6  13:51    9.6  08:00    5.5    0.0   0.04    8.3   33.8  12:41    250
 07   11.7   15.7  12:23    8.9  06:19    6.6    0.0   0.28    7.1   35.4  15:57    344
 08   13.4   17.1  15:21   10.1  08:07    4.9    0.0   0.00    4.3   19.3  13:14    295
 09   12.6   15.3  16:26   10.4  21:36    5.7    0.0   0.54    5.3   35.4  18:24      5
 10   13.0   16.0  13:30    9.4  05:21    5.3    0.0   0.14    6.2   30.6  18:09    322
 11   14.4   17.6  15:07   11.0  07:32    3.9    0.0   0.08    3.6   24.1  00:19    321
 12   14.7   17.3  15:59   11.5  07:35    3.7    0.0   0.00    4.3   17.7  00:23    283
 13   13.8   16.6  18:17    9.9  07:31    4.5    0.0   0.00    5.1   19.3  03:14    290
 14   13.2   15.1  11:39   10.4  07:14    5.2    0.0   0.00    4.7   24.1  13:02     89
 15   13.2   14.8  18:22   11.1  07:39    5.1    0.0   0.00    5.1   19.3  10:45    106
 16   13.6   15.5  10:38   11.4  04:01    4.7    0.0   0.02    5.1   17.7  05:55     66
 17   14.0   17.2  15:03   10.7  06:13    4.3    0.0   0.00    3.6   14.5  20:23    181
 18   15.3   18.4  16:56   13.4  05:14    3.1    0.0   0.00   12.1   45.1  19:44     43
 19   16.6   19.9  14:15   14.7  07:42    1.7    0.0   0.00   18.6   51.5  11:17     39
 20   16.8   18.9  12:32   15.0  20:45    1.6    0.0   0.00   20.9   59.5  23:02     32
 21   16.4   18.7  15:15   14.7  02:25    1.9    0.0   0.00   21.3   57.9  00:00     39
 22   16.2   17.7  15:54   14.4  23:59    2.1    0.0   0.04   20.2   53.1  00:51     38
 23   15.6   18.1  15:49   14.2  02:46    2.7    0.0   0.00    6.3   35.4  01:04     12
 24   15.1   16.7  10:31   13.8  22:44    3.2    0.0   0.00    8.6   38.6  15:55    223
 25   15.7   19.1  15:04   13.3  23:52    2.6    0.0   0.00    5.4   29.0  14:27    221
 26   14.8   16.9  18:56   12.7  00:21    3.5    0.0   0.00    6.4   24.1  12:23    198
 27   15.1   17.1  17:20   13.2  04:10    3.2    0.0   0.00    5.2   22.5  08:19     86
 28   14.1   15.9  15:01   11.7  06:13    4.2    0.0   0.00    2.4   14.5  13:24    289
 29   15.3   18.0  13:04   13.3  00:31    3.0    0.0   0.00    2.9   16.1  15:52    237
 30   15.8   18.1  13:57   13.6  07:21    2.5    0.0   0.02    4.1   17.7  18:46    220
---------------------------------------------------------------------------------------
      14.2   19.9     19    5.8     04  124.4    0.0   1.98    7.5   59.5     20     24
    
