                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2017


NAME: Sant Pol de Mar                  
ELEV: 20 meters    LAT: 41-21.60 N    LONG: 002-22.20 E


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (kph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.4   14.8  17:03    9.7  07:00    5.9    0.0   0.00    5.3   24.1  19:35    279
 02   12.5   16.0  15:21    8.9  05:40    5.8    0.0   0.00    3.3   16.1  01:54    291
 03   13.3   15.1  11:24   11.7  05:19    5.0    0.0   0.00    5.1   25.7  23:33    340
 04   11.2   15.1  15:30    6.7  08:00    7.1    0.0   1.02   10.4   67.6  02:11    253
 05   12.4   17.9  17:43    7.2  01:25    5.9    0.0   0.00    5.2   30.6  12:40    288
 06   17.1   25.1  17:06   10.5  03:56    1.3    0.0   0.00    6.7   30.6  15:37    296
 07   13.9   16.9  15:15   11.7  23:50    4.5    0.0   0.00    4.6   24.1  03:18      9
 08   13.0   15.7  13:18   10.4  02:26    5.3    0.0   0.00    3.5   16.1  00:00    283
 09   13.9   17.6  16:38   10.5  06:52    4.5    0.0   0.00    2.8   12.9  14:30    300
 10   14.8   18.5  09:38   10.6  07:19    3.5    0.0   0.00    2.6   16.1  16:04    266
 11   14.8   18.9  10:07   11.9  06:44    3.5    0.0   0.00    3.3   12.9  04:22     12
 12   14.1   16.9  12:22   11.4  07:36    4.2    0.0   0.00    3.3   20.9  11:22    272
 13   15.1   19.3  15:59   11.7  03:05    3.2    0.0   0.00    9.7   61.2  15:20     45
 14   14.9   18.2  11:57   11.4  23:41    3.4    0.0   0.00    4.1   29.0  17:00     69
 15   13.6   17.4  14:24   10.4  06:13    4.7    0.0   0.00    3.9   12.9  03:09    358
 16   13.3   17.4  14:31    9.4  06:15    5.0    0.0   0.00    3.6   12.9  00:28    294
 17   13.9   17.8  14:11   10.4  06:48    4.4    0.0   0.00    5.2   25.7  14:46    271
 18   13.3   16.0  09:43   10.1  05:59    5.1    0.0   0.00    4.2   24.1  14:57     69
 19   14.4   17.5  14:40   10.8  06:38    3.9    0.0   0.00    3.6   19.3  13:10    263
 20   14.5   18.9  14:39   11.1  03:10    3.9    0.0   0.00    3.2   11.3  11:20    304
 21   13.7   15.9  10:11   11.4  02:50    4.6    0.0   0.00    4.8   20.9  13:56    246
 22   14.6   18.0  11:39   11.9  07:51    3.7    0.0   0.06    5.4   30.6  04:59    228
 23   14.5   17.8  10:43   11.4  23:59    3.8    0.0   0.00    5.3   27.4  16:32    219
 24   11.4   14.9  23:56   10.1  03:48    6.9    0.0   0.82   10.8   57.9  21:08     27
 25   11.5   15.1  13:59    6.2  07:32    6.8    0.0   3.00    6.7   46.7  00:00    266
 26   13.2   16.8  18:50    9.4  07:22    5.1    0.0   0.00    4.2   19.3  15:10    273
 27   13.2   16.0  13:46   11.1  04:34    5.2    0.0   0.00    5.7   32.2  15:33     41
 28   13.0   16.2  17:15    9.5  06:41    5.3    0.0   0.00    4.4   20.9  02:32    284
 29   16.4   21.4  14:33   11.8  07:41    1.9    0.0   0.00    4.4   22.5  00:51    313
 30   15.2   18.8  16:06   11.5  07:00    3.2    0.0   0.00    3.9   19.3  16:15    255
 31   14.7   17.4  16:47   12.1  03:35    3.7    0.0   0.00    4.2   17.7  11:35    258
---------------------------------------------------------------------------------------
      13.8   25.1     06    6.2     25  140.4    0.0   4.90    4.9   67.6     04    307
    
